CHILDCODE	MEMIDR5	MEMMOVR5	RELATER5	LIVHSER5	YRDIEDR5	CAREGVR5	MEMAGER5	MEAGMTR5	MEMSEXR5	CHLBRNR5	PANELSIB	SEENMER5	EVRLVDR5	LNGLVDR5	GETMOMBIRTH	GETCHILDBIRTH	THSCOMR5	RELHHR5	MRTLSTR5	MTHRHHR5	FTHRHHR5	STRT18R5	GRDE18R5	STLL18R5	HSSTRTR5	STRYRR5	GRADER5	STILLR5	WHYNOTR5	AGEGRDR5	TYPLSTR5	TYPATDR5	WHSCHR5	FEESR5	EXTTUTR5	PERFR5	SLEEPR5	CHCARER5	HHCHRER5	NPYWRKR5	PAYWRKR5	SCHOOLR5	STUDYR5	PLAYR5	DISABR5	MEMAFCR5	MEMLNGR5	MLNHLR51	HTSFFR51	SEEKTRR5	WHSEEKR5	MEMTOBR5	MOTTOBR5	OFTSMKR5	MEMALCR5	OFTALCR5
10001	0	 	0	1	 	 	14	 	1	 	0	 	 	 	0	0	 	5	0	2	1	 	 	 	1	6	8	1	 	 	 	3	1	270	4800	1	8	1	0	0	0	5	6	4	 	 	 	 	 	 	 	 	 	 	 	 
10001	1	 	1	1	 	0	46	 	1	 	0	 	 	 	0	0	 	1	1	98	98	1	11	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	 	0	 	 	 	 	1	0	1	1	4
10001	2	 	1	1	 	1	44	 	2	0	0	 	 	 	0	0	 	2	1	98	98	1	13	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	 	0	 	 	 	 	0	0	 	0	5
10001	3	 	7	1	 	0	20	 	2	 	1	 	 	 	0	0	 	5	0	2	1	1	12	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	 	0	 	 	 	 	0	0	 	0	6
10002	0	 	0	1	 	 	15	 	1	 	0	 	 	 	0	0	 	5	0	4	3	 	 	 	1	6	9	1	 	 	 	3	1	270	3600	2	7	0	2	0	0	5	3	6	 	 	 	 	 	 	 	 	 	 	 	 
10002	1	 	5	4	 	0	71	 	1	 	0	 	 	 	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
10002	2	 	5	2	 	0	68	 	2	 	0	 	 	 	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
10002	3	 	1	1	 	0	49	 	1	 	0	 	 	 	0	0	 	1	1	98	98	1	13	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	 	0	 	 	 	 	0	0	 	0	2
10002	4	 	1	1	 	1	39	 	2	0	0	 	 	 	0	0	 	2	1	98	98	1	14	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	 	0	 	 	 	 	0	0	 	0	4
10002	5	 	13	4	 	0	35	 	1	 	0	 	 	 	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
