PLACEID	PRGIDR5	CURRPROG	PASTPROG	PROGSTOP
1	2	0	0	 
1	3	0	0	 
1	14	0	0	 
1	17	0	0	 
1	18	1	 	 
1	34	1	 	 
1	35	1	 	 
1	36	0	1	1
1	37	0	0	 
1	38	0	0	 
1	39	0	0	 
1	40	0	0	 
1	41	0	0	 
1	42	0	0	 
1	43	1	 	 
1	45	1	 	 
1	51	1	 	 
1	63	0	0	 
1	64	0	0	 
1	65	1	 	 
2	2	0	0	 
2	3	0	0	 
2	14	1	 	 
2	17	1	 	 
2	18	1	 	 
2	34	0	0	 
2	35	1	 	 
2	36	1	 	 
2	37	1	 	 
2	38	1	 	 
2	39	1	 	 
2	40	0	0	 
2	41	0	0	 
2	42	1	 	 
2	43	0	0	 
2	45	1	 	 
2	51	1	 	 
2	63	0	0	 
2	64	1	 	 
2	65	1	 	 
3	2	1	 	 
3	3	0	0	 
3	14	0	0	 
3	17	0	0	 
3	18	1	 	 
3	34	1	 	 
3	35	1	 	 
3	36	1	 	 
3	37	0	0	 
3	38	0	0	 
3	39	1	 	 
3	40	1	 	 
3	41	0	0	 
3	42	0	0	 
3	43	0	0	 
3	45	1	 	 
3	51	1	 	 
3	63	0	0	 
3	64	0	0	 
3	65	1	 	 
4	2	0	0	 
4	3	0	0	 
4	14	0	0	 
4	17	0	0	 
4	18	1	 	 
4	34	0	0	 
4	35	1	 	 
4	36	1	 	 
4	37	1	 	 
4	38	1	 	 
4	39	1	 	 
4	40	1	 	 
4	41	0	0	 
4	42	0	0	 
4	43	0	0	 
4	45	1	 	 
4	51	0	0	 
4	63	0	0	 
4	64	0	0	 
4	65	1	 	 
5	2	1	 	 
5	3	0	0	 
5	14	1	 	 
5	17	0	0	 
5	18	1	 	 
5	34	0	0	 
5	35	0	0	 
5	36	1	 	 
5	37	0	0	 
5	38	0	0	 
5	39	0	0	 
5	40	0	0	 
5	41	0	0	 
5	42	0	0	 
5	43	0	0	 
5	45	1	 	 
5	51	1	 	 
5	63	0	0	 
5	64	0	0	 
5	65	1	 	 
6	2	0	0	 
6	3	0	0	 
6	14	1	 	 
6	17	1	 	 
6	18	1	 	 
6	34	0	0	 
6	35	1	 	 
6	36	1	 	 
6	37	0	0	 
6	38	0	0	 
6	39	1	 	 
6	40	1	 	 
6	41	1	 	 
6	42	0	0	 
6	43	0	0	 
6	45	1	 	 
6	51	1	 	 
6	63	0	0	 
6	64	1	 	 
6	65	1	 	 
7	2	0	0	 
7	3	0	0	 
7	14	0	0	 
7	17	0	0	 
7	18	1	 	 
7	34	0	0	 
7	35	0	0	 
7	36	0	0	 
7	37	0	0	 
7	38	0	0	 
7	39	0	0	 
7	40	0	0	 
7	41	0	0	 
7	42	0	0	 
7	43	0	0	 
7	45	0	0	 
7	51	1	 	 
7	63	0	0	 
7	64	1	 	 
7	65	1	 	 
8	2	0	0	 
8	3	0	0	 
8	14	1	 	 
8	17	1	 	 
8	18	1	 	 
8	34	0	0	 
8	35	1	 	 
8	36	1	 	 
8	37	1	 	 
8	38	1	 	 
8	39	1	 	 
8	40	0	0	 
8	41	1	 	 
8	42	1	 	 
8	43	0	0	 
8	45	1	 	 
8	51	1	 	 
8	63	0	0	 
8	64	0	0	 
8	65	1	 	 
9	2	0	0	 
9	3	0	0	 
9	14	1	 	 
9	17	1	 	 
9	18	1	 	 
9	34	1	 	 
9	35	1	 	 
9	36	1	 	 
9	37	1	 	 
9	38	1	 	 
9	39	1	 	 
9	40	0	0	 
9	41	1	 	 
9	42	1	 	 
9	43	0	0	 
9	45	1	 	 
9	51	1	 	 
9	63	0	0	 
9	64	1	 	 
9	65	1	 	 
10	2	0	0	 
10	3	0	0	 
10	14	0	0	 
10	17	0	0	 
10	18	1	 	 
10	34	0	0	 
10	35	0	0	 
10	36	0	0	 
10	37	0	0	 
10	38	0	0	 
10	39	0	0	 
10	40	0	0	 
10	41	0	0	 
10	42	0	0	 
10	43	0	0	 
10	45	0	0	 
10	51	0	0	 
10	63	0	0	 
10	64	1	 	 
10	65	1	 	 
11	2	0	0	 
11	3	0	0	 
11	14	0	0	 
11	17	0	0	 
11	18	1	 	 
11	34	0	0	 
11	35	0	0	 
11	36	0	0	 
11	37	0	0	 
11	38	0	0	 
11	39	0	0	 
11	40	0	0	 
11	41	0	0	 
11	42	1	 	 
11	43	0	0	 
11	45	0	0	 
11	51	1	 	 
11	63	0	0	 
11	64	1	 	 
11	65	1	 	 
12	2	0	0	 
12	3	0	0	 
12	14	1	 	 
12	17	1	 	 
12	18	1	 	 
12	34	0	0	 
12	35	1	 	 
12	36	1	 	 
12	37	1	 	 
12	38	1	 	 
12	39	1	 	 
12	40	0	0	 
12	41	1	 	 
12	42	1	 	 
12	43	0	0	 
12	45	0	0	 
12	51	1	 	 
12	63	0	0	 
12	64	1	 	 
12	65	1	 	 
13	2	0	0	 
13	3	0	0	 
13	14	1	 	 
13	17	1	 	 
13	18	1	 	 
13	34	0	0	 
13	35	1	 	 
13	36	1	 	 
13	37	1	 	 
13	38	1	 	 
13	39	1	 	 
13	40	0	0	 
13	41	0	0	 
13	42	1	 	 
13	43	0	0	 
13	45	1	 	 
13	51	1	 	 
13	63	0	0	 
13	64	1	 	 
13	65	1	 	 
14	2	0	0	 
14	3	0	0	 
14	14	0	0	 
14	17	0	0	 
14	18	0	0	 
14	34	0	0	 
14	35	0	0	 
14	36	0	0	 
14	37	0	0	 
14	38	0	0	 
14	39	1	 	 
14	40	0	0	 
14	41	0	0	 
14	42	0	0	 
14	43	0	0	 
14	45	0	0	 
14	51	1	 	 
14	63	0	0	 
14	64	1	 	 
14	65	1	 	 
15	2	1	 	 
15	3	0	0	 
15	14	1	 	 
15	17	1	 	 
15	18	1	 	 
15	34	0	0	 
15	35	1	 	 
15	36	1	 	 
15	37	1	 	 
15	38	1	 	 
15	39	1	 	 
15	40	1	 	 
15	41	0	0	 
15	42	1	 	 
15	43	0	0	 
15	45	0	0	 
15	51	1	 	 
15	63	0	0	 
15	64	1	 	 
15	65	1	 	 
16	2	1	 	 
16	3	0	0	 
16	14	1	 	 
16	17	0	1	3
16	18	1	 	 
16	34	0	0	 
16	35	1	 	 
16	36	1	 	 
16	37	0	0	 
16	38	0	0	 
16	39	1	 	 
16	40	1	 	 
16	41	0	0	 
16	42	1	 	 
16	43	0	0	 
16	45	1	 	 
16	51	1	 	 
16	63	0	0	 
16	64	1	 	 
16	65	1	 	 
17	2	1	 	 
17	3	0	0	 
17	14	1	 	 
17	17	1	 	 
17	18	1	 	 
17	34	1	 	 
17	35	1	 	 
17	36	1	 	 
17	37	1	 	 
17	38	1	 	 
17	39	1	 	 
17	40	1	 	 
17	41	1	 	 
17	42	1	 	 
17	43	0	0	 
17	45	1	 	 
17	51	1	 	 
17	63	0	0	 
17	64	0	0	 
17	65	1	 	 
18	2	1	 	 
18	3	0	0	 
18	14	1	 	 
18	17	1	 	 
18	18	1	 	 
18	34	0	0	 
18	35	0	0	 
18	36	1	 	 
18	37	1	 	 
18	38	1	 	 
18	39	1	 	 
18	40	1	 	 
18	41	0	0	 
18	42	0	0	 
18	43	0	0	 
18	45	1	 	 
18	51	1	 	 
18	63	0	0	 
18	64	1	 	 
18	65	1	 	 
19	2	1	 	 
19	3	1	 	 
19	14	1	 	 
19	17	1	 	 
19	18	1	 	 
19	34	0	0	 
19	35	1	 	 
19	36	1	 	 
19	37	1	 	 
19	38	1	 	 
19	39	1	 	 
19	40	1	 	 
19	41	1	 	 
19	42	1	 	 
19	43	0	0	 
19	45	0	0	 
19	51	1	 	 
19	63	0	0	 
19	64	1	 	 
19	65	1	 	 
20	2	1	 	 
20	3	0	0	 
20	14	1	 	 
20	17	1	 	 
20	18	1	 	 
20	34	0	0	 
20	35	1	 	 
20	36	0	1	3
20	37	0	0	 
20	38	0	0	 
20	39	1	 	 
20	40	1	 	 
20	41	1	 	 
20	42	1	 	 
20	43	0	0	 
20	45	1	 	 
20	51	1	 	 
20	63	0	0	 
20	64	1	 	 
20	65	1	 	 
21	2	1	 	 
21	3	1	 	 
21	14	1	 	 
21	17	1	 	 
21	18	1	 	 
21	34	0	0	 
21	35	1	 	 
21	36	1	 	 
21	37	1	 	 
21	38	1	 	 
21	39	1	 	 
21	40	1	 	 
21	41	0	0	 
21	42	1	 	 
21	43	0	0	 
21	45	1	 	 
21	51	1	 	 
21	63	0	0	 
21	64	1	 	 
21	65	1	 	 
22	2	1	 	 
22	3	1	 	 
22	14	0	0	 
22	17	1	 	 
22	18	1	 	 
22	34	1	 	 
22	35	1	 	 
22	36	1	 	 
22	37	1	 	 
22	38	1	 	 
22	39	1	 	 
22	40	0	0	 
22	41	0	0	 
22	42	1	 	 
22	43	1	 	 
22	45	1	 	 
22	51	1	 	 
22	63	0	0	 
22	64	0	0	 
22	65	1	 	 
23	2	0	1	2
23	3	0	0	 
23	14	0	0	 
23	17	1	 	 
23	18	1	 	 
23	34	1	 	 
23	35	1	 	 
23	36	0	0	 
23	37	0	0	 
23	38	1	 	 
23	39	1	 	 
23	40	0	0	 
23	41	0	0	 
23	42	1	 	 
23	43	1	 	 
23	45	0	0	 
23	51	1	 	 
23	63	0	0	 
23	64	1	 	 
23	65	1	 	 
24	2	0	0	 
24	3	1	 	 
24	14	1	 	 
24	17	1	 	 
24	18	1	 	 
24	34	77	 	 
24	35	0	0	 
24	36	0	0	 
24	37	0	0	 
24	38	1	 	 
24	39	1	 	 
24	40	0	0	 
24	41	77	 	 
24	42	1	 	 
24	43	1	 	 
24	45	1	 	 
24	51	1	 	 
24	63	77	 	 
24	64	1	 	 
24	65	1	 	 
25	2	0	0	 
25	3	77	 	 
25	14	0	0	 
25	17	1	 	 
25	18	1	 	 
25	34	77	 	 
25	35	1	 	 
25	36	1	 	 
25	37	0	0	 
25	38	1	 	 
25	39	1	 	 
25	40	0	0	 
25	41	0	0	 
25	42	1	 	 
25	43	0	0	 
25	45	0	0	 
25	51	1	 	 
25	63	0	0	 
25	64	0	0	 
25	65	1	 	 
26	2	0	0	 
26	3	77	 	 
26	14	1	 	 
26	17	1	 	 
26	18	1	 	 
26	34	77	 	 
26	35	1	 	 
26	36	1	 	 
26	37	1	 	 
26	38	1	 	 
26	39	1	 	 
26	40	1	 	 
26	41	77	 	 
26	42	1	 	 
26	43	77	 	 
26	45	0	0	 
26	51	1	 	 
26	63	77	 	 
26	64	0	0	 
26	65	1	 	 
27	2	0	0	 
27	3	77	 	 
27	14	77	 	 
27	17	77	 	 
27	18	1	 	 
27	34	77	 	 
27	35	77	 	 
27	36	77	 	 
27	37	77	 	 
27	38	77	 	 
27	39	1	 	 
27	40	77	 	 
27	41	77	 	 
27	42	1	 	 
27	43	77	 	 
27	45	1	 	 
27	51	1	 	 
27	63	77	 	 
27	64	1	 	 
27	65	1	 	 
28	2	0	0	 
28	3	0	0	 
28	14	1	 	 
28	17	0	0	 
28	18	1	 	 
28	34	0	0	 
28	35	0	0	 
28	36	1	 	 
28	37	0	0	 
28	38	1	 	 
28	39	1	 	 
28	40	0	0	 
28	41	0	0	 
28	42	0	0	 
28	43	0	0	 
28	45	1	 	 
28	51	0	0	 
28	63	0	0	 
28	64	1	 	 
28	65	0	0	 
29	2	0	0	 
29	3	0	0	 
29	14	1	 	 
29	17	1	 	 
29	18	1	 	 
29	34	1	 	 
29	35	0	0	 
29	36	1	 	 
29	37	1	 	 
29	38	1	 	 
29	39	1	 	 
29	40	0	0	 
29	41	0	0	 
29	42	0	0	 
29	43	0	0	 
29	45	1	 	 
29	51	0	0	 
29	63	0	0	 
29	64	1	 	 
29	65	0	0	 
32	2	1	 	 
32	3	0	0	 
32	14	1	 	 
32	17	1	 	 
32	18	1	 	 
32	34	0	0	 
32	35	1	 	 
32	36	1	 	 
32	37	1	 	 
32	38	1	 	 
32	39	1	 	 
32	40	0	0	 
32	41	0	0	 
32	42	0	0	 
32	43	0	0	 
32	45	1	 	 
32	51	0	0	 
32	63	0	0	 
32	64	0	0	 
32	65	0	0	 
33	2	1	 	 
33	3	77	 	 
33	14	1	 	 
33	17	1	 	 
33	18	1	 	 
33	34	0	0	 
33	35	1	 	 
33	36	1	 	 
33	37	1	 	 
33	38	1	 	 
33	39	0	0	 
33	40	0	0	 
33	41	0	0	 
33	42	1	 	 
33	43	0	0	 
33	45	0	0	 
33	51	0	0	 
33	63	1	 	 
33	64	0	0	 
33	65	0	0	 
34	2	0	0	 
34	3	0	0	 
34	14	1	 	 
34	17	1	 	 
34	18	1	 	 
34	34	0	0	 
34	35	1	 	 
34	36	1	 	 
34	37	1	 	 
34	38	1	 	 
34	39	1	 	 
34	40	0	0	 
34	41	1	 	 
34	42	1	 	 
34	43	0	0	 
34	45	1	 	 
34	51	1	 	 
34	63	0	0	 
34	64	1	 	 
34	65	1	 	 
35	2	0	0	 
35	3	0	0	 
35	14	1	 	 
35	17	1	 	 
35	18	1	 	 
35	34	1	 	 
35	35	1	 	 
35	36	1	 	 
35	37	1	 	 
35	38	1	 	 
35	39	1	 	 
35	40	0	0	 
35	41	1	 	 
35	42	0	0	 
35	43	0	0	 
35	45	1	 	 
35	51	1	 	 
35	63	0	0	 
35	64	1	 	 
35	65	0	0	 
36	2	0	0	 
36	3	1	 	 
36	14	1	 	 
36	17	1	 	 
36	18	1	 	 
36	34	1	 	 
36	35	1	 	 
36	36	1	 	 
36	37	1	 	 
36	38	1	 	 
36	39	1	 	 
36	40	0	0	 
36	41	0	0	 
36	42	0	0	 
36	43	1	 	 
36	45	1	 	 
36	51	0	0	 
36	63	0	0	 
36	64	1	 	 
36	65	1	 	 
