childid	id	age	memsex	relate	livhse	dthunexp	adultedc	grade	hsstrtr3	strtyrr3	strmthr3	grader3	stillr3	whynotr3	agegrdr3	perfr3	feesr3	disabr3	actr3	monthsr3	daysr3	hoursr3	sleepr3	chcarer3	hhchrer3	npywrkr3	paywrkr3	schoolr3	studyr3	playr3	hrewrkr3	nohrer3	wrkprjr3	numdysr3	rsnfewr3	tywrkr31	tywrkr32	tywrkr33	wgercdr3
ET200100	0	8	1	0	1	 	 	 	1	2001	1	1	1	 	 	2	0	0	4	12	7	5	9	0	0	5	0	7	1	2	 	 	 	 	 	 	 	 	 
ET200100	1	60	1	1	1	 	 	29	 	 	 	 	 	 	 	 	 	0	1	8	7	11	 	 	 	 	 	 	 	 	1	 	1	20	1	2	4	3	20
ET200100	2	43	2	1	1	 	 	0	 	 	 	 	 	 	 	 	 	0	15	12	7	12	 	 	 	 	 	 	 	 	1	 	1	15	1	2	4	3	20
ET200100	3	27	2	7	2	 	 	 	 	 	 	 	 	 	 	 	 	0	15	3	7	10	 	 	 	 	 	 	 	 	0	10	 	88	 	 	 	 	88
ET200100	4	31	2	7	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET200100	5	18	2	7	2	 	 	 	 	 	 	 	 	 	 	 	 	0	15	3	7	8	 	 	 	 	 	 	 	 	0	10	 	88	 	 	 	 	88
ET200100	6	13	2	7	1	 	 	 	1	1997	1	5	1	 	 	3	0	0	15	12	7	5	8	0	5	0	0	7	2	2	 	 	 	 	 	 	 	 	 
ET200100	7	6	2	7	1	 	 	 	1	2002	1	0	1	 	 	 	0	0	17	 	 	 	10	0	0	0	0	7	1	6	 	 	 	 	 	 	 	 	 
ET200100	8	15	1	7	1	 	 	 	1	1997	1	5	1	 	 	2	0	0	1	12	5	3	8	0	0	3	0	7	3	3	0	10	 	88	 	 	 	 	88
ET200099	0	8	2	0	1	 	 	29	1	2001	1	1	1	 	 	3	0	0	4	10	5	2	10	1	2	2	0	5	1	3	 	 	 	 	 	 	 	 	 
ET200099	1	47	1	1	1	 	 	0	 	 	 	 	 	 	 	 	 	0	1	8	3	8	 	 	 	 	 	 	 	 	1	 	1	15	 	10	2	12	20
ET200099	2	30	2	1	1	 	 	 	 	 	 	 	 	 	 	 	 	0	15	12	7	10	 	 	 	 	 	 	 	 	1	 	1	10	 	10	2	3	20
ET200099	3	67	2	5	1	 	 	 	 	 	 	 	 	 	 	 	 	0	15	12	7	6	 	 	 	 	 	 	 	 	0	3	 	88	 	 	 	 	88
ET200099	4	33	1	13	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET200099	5	29	1	13	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET200099	6	19	1	13	1	 	 	 	 	 	 	 	 	 	 	 	 	0	15	10	2	2	 	 	 	 	 	 	 	 	0	10	 	88	 	 	 	 	88
ET200099	7	13	2	7	1	 	 	 	1	1997	1	5	1	 	 	2	0	0	15	10	5	3	10	2	2	2	0	5	2	1	 	 	 	 	 	 	 	 	 
ET200099	8	5	1	7	1	 	 	 	0	 	 	 	 	29	 	 	 	0	17	 	 	 	10	0	0	0	0	0	0	14	 	 	 	 	 	 	 	 	 
ET200099	9	2	1	7	1	 	 	 	 	 	 	 	 	 	 	 	 	0	17	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET200098	0	8	1	0	1	 	 	29	1	2002	1	0	1	 	 	 	0	0	4	12	7	4	10	0	0	4	0	5	1	4	 	 	 	 	 	 	 	 	 
ET200098	1	57	1	1	1	 	 	0	 	 	 	 	 	 	 	 	 	0	1	4	5	10	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET200098	2	47	2	1	1	 	 	 	 	 	 	 	 	 	 	 	 	0	15	12	7	5	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
